Date,Open,High,Low,Close,Adj Close,Volume
2012-04-01,null,null,null,null,null,null
2012-05-01,11.250000,11.340000,9.960000,10.560000,8.390337,1012184100
2012-06-01,10.330000,10.800000,9.460000,9.590000,7.619634,956337200
2012-07-01,9.500000,9.790000,8.830000,9.240000,7.341545,848181000
2012-08-01,9.290000,9.700000,8.820000,9.340000,7.421000,674626400
2012-09-01,9.370000,10.660000,9.350000,9.860000,7.876782,767225900
2012-10-01,9.890000,11.170000,9.710000,11.160000,8.915304,931586400
2012-11-01,11.190000,11.600000,10.380000,11.450000,9.191336,886550600
2012-12-01,11.560000,13.080000,11.030000,12.950000,10.395440,1202835100
2013-01-01,13.230000,14.300000,12.670000,12.950000,10.395440,1270969800
2013-02-01,13.100000,13.310000,12.100000,12.610000,10.197050,643595600
2013-03-01,12.560000,13.470000,12.380000,13.150000,10.633719,648764200
2013-04-01,13.010000,13.760000,12.150000,13.710000,11.086562,802194900
2013-05-01,13.640000,16.040001,13.350000,15.680000,12.679598,998950500
2013-06-01,15.930000,16.090000,14.300000,15.470000,12.601696,840682200
2013-07-01,15.610000,17.680000,15.560000,16.879999,13.750267,857103700
2013-08-01,17.040001,17.500000,15.710000,16.190001,13.265868,738452700
2013-09-01,16.420000,17.770000,16.209999,16.870001,13.823054,771336600
2013-10-01,16.930000,18.020000,16.350000,17.110001,14.019705,860633500
2013-11-01,17.240000,17.240000,16.530001,17.080000,14.075048,672392400
2013-12-01,17.120001,17.200001,15.100000,15.430000,12.715342,1037390500
2014-01-01,15.420000,16.780001,14.900000,14.960000,12.328030,1003488000
2014-02-01,15.000000,15.490000,14.400000,15.390000,12.784034,712696400
2014-03-01,15.200000,15.830000,15.030000,15.600000,12.958473,617354600
2014-04-01,15.670000,16.490000,15.530000,16.150000,13.415344,664199500
2014-05-01,16.150000,16.559999,15.430000,16.440001,13.762962,504923500
2014-06-01,16.510000,17.350000,16.379999,17.240000,14.432692,558700700
2014-07-01,17.340000,18.120001,17.010000,17.020000,14.248515,618952400
2014-08-01,17.049999,17.520000,16.719999,17.410000,14.679444,420844900
2014-09-01,17.480000,17.870001,14.490000,14.790000,12.470362,655672700
2014-10-01,14.770000,14.830000,13.260000,14.090000,11.880148,910293700
2014-11-01,14.100000,15.840000,13.860000,15.730000,13.381057,602657400
2014-12-01,15.780000,16.129999,13.930000,15.500000,13.185402,593521500
2015-01-01,15.590000,15.650000,14.300000,14.710000,12.513372,595277100
2015-02-01,14.750000,16.620001,14.740000,16.340000,14.041803,524035300
2015-03-01,16.340000,16.740000,15.690000,16.139999,13.869931,609402200
2015-04-01,16.160000,16.160000,15.700000,15.800000,13.577753,539331600
2015-05-01,15.900000,15.940000,15.140000,15.170000,13.159269,428664100
2015-06-01,15.330000,15.660000,14.780000,15.010000,13.020476,578086200
2015-07-01,15.140000,15.300000,14.230000,14.830000,12.864334,672444200
2015-08-01,14.970000,15.040000,10.440000,13.870000,12.154517,595724500
2015-09-01,13.950000,14.880000,13.010000,13.570000,11.891622,743051900
2015-10-01,13.760000,15.840000,13.420000,14.810000,12.978257,668044800
2015-11-01,14.790000,14.900000,13.850000,14.330000,12.685414,443631700
2015-12-01,14.320000,14.620000,13.400000,14.090000,12.472959,587647300
2016-01-01,13.870000,14.000000,11.200000,11.940000,10.569704,1087386200
2016-02-01,11.920000,12.650000,11.020000,12.510000,11.447788,794892300
2016-03-01,13.010000,13.860000,12.720000,13.500000,12.353729,718477300
2016-04-01,13.280000,14.220000,12.390000,13.560000,12.408635,735860900
2016-05-01,13.670000,13.790000,13.020000,13.490000,12.480731,543316000
2016-06-01,13.430000,13.550000,12.000000,12.570000,11.629562,777581900
2016-07-01,12.880000,14.040000,12.210000,12.660000,11.712828,754715400
2016-08-01,12.610000,12.620000,11.900000,12.600000,11.785138,726421300
2016-09-01,12.660000,12.770000,11.930000,12.070000,11.289414,745942700
2016-10-01,12.060000,12.530000,11.600000,11.740000,10.980755,657501000
2016-11-01,11.780000,12.500000,11.070000,11.960000,11.325895,734791000
2016-12-01,12.230000,13.200000,12.080000,12.130000,11.486880,708798000
2017-01-01,12.200000,13.270000,12.130000,12.360000,11.704687,879175700
2017-02-01,12.450000,12.770000,12.220000,12.530000,12.056902,586138000
2017-03-01,12.660000,12.750000,11.410000,11.640000,11.200506,952495700
2017-04-01,11.640000,11.700000,11.080000,11.470000,11.036924,779636100
2017-05-01,11.490000,11.540000,10.670000,11.120000,10.844345,932923800
2017-06-01,11.250000,11.540000,10.910000,11.190000,10.912611,850514200
